id	surface	gloss	level
95514	자기 암시	self suggestion	
95515	자기 역량계	dynamograph	
95516	자기 예찬의	selfapplauding	
95517	자기 온도계	thermograph	
95518	자기 유도	magnetic induction	
95519	자기 유도	selfinduction	
95520	자기 유도의	selfinduced	
95521	자기 유체 역학	hydromagnetic	
95522	자기 유체 역학 발전	magnetohydrodynamics	
95523	자기 의존	selfreliance	
95524	자기 인식	selfknowledge	
95525	자기 인식	selfrecognition	
95526	자기 인식의 위기	identity crisis	
95527	자기 일만 말하다	egotize	
95528	자기 잉크 문자 판독기	MICR	
95529	자기 자극	selfstimulation	
95530	자기 자극 감수	proprioception	
95531	자기 자극에 감응하는	proprioceptive	
95532	자기 자랑	selfpraise	
95533	자기 자랑	selfapplause	
95534	자기 자랑 잘 하는 사람	flannelmouth	
95535	자기 자본	equity capital	
95536	자기 자신의	own	
95537	자기 자신임	identity	
95538	자기 자오선	magnetic meridian	
95539	자기 잡음	slefnoise	
95540	자기 재생	selfreplication	
95541	자기 재생하는	selfreplicating	
95542	자기 저항 복사계	bolograph	
95543	자기 저항률	reluctivity	
95544	자기 적도	magnetic equator	
95545	자기 절단	autotomy	
95546	자기 점화	autoignition	
95547	자기 정당화	selfjustification	
95548	자기 정화	autocatharsis	
95549	자기 제품	porcelain	
95550	자기 조절	autoregulation	
95551	자기 좌절의	selfdefeating	
95552	자기 주 출신입후보자	native son	
95553	자기 주장	selfassertion	
95554	자기 주장의	selfwilled	
95555	자기 중심 사회	me society	
95556	자기 중심 세대	me generation	
95557	자기 중심 주의자	egotist	
95558	자기 중심벽	egotism	
95559	자기 중심성성격	narcissistic personality	
95560	자기 중심주의	narcissism	
95561	자기 착화	autoignition	
95562	자기 최면	selfhumiliation	
95563	자기 추천의	selfappointed	
95564	자기 충족의	selfcontained	
95565	자기 카드	magnetic card	
95566	자기 컴퍼스	magnetic compass	
95567	자기 탐광	magnetic exploration	
95568	자기 파멸로 이끄는	self deceptive	
95569	자기 편각	magnetic declination	
95570	자기 포기	self surrender	
95571	자기 폭풍	magnetic storm	
95572	자기 항체	autoantibody	
95573	자기 해석	eisegesis	
95574	자기 향원	selfantigen	
95575	자기 현시	selfdisplay	
95576	자기 현시	selfrevelation	
95577	자기 혐오	selfabhorrence	
95578	자기 회로	magnetic circuit	
95579	자기 회수적인	selfliquidating	
95580	자기 훈련	self discipline	
95581	자기 희생	self devotion, self immolation, self sacrifice	
95582	자기감정		
95583	자기것으로 받아들이다	introject	
95584	자기것으로 하다	internalize	
95585	자기경시	self depreciation	
95586	자기교육	self educated	
95587	자기권의 외피층	magnetosheath	
95588	자기규정		
95589	자기기만		
95590	자기기만적		
95591	자기나라의	native	
95592	자기나라의	home	
95593	자기대	magnetic stripe	
95594	자기도취	narcissism, selfabsorption	
95595	자기도취자	narcissist	
95596	자기도취적		
95597	자기력	magnetic force	
95598	자기마음대로 하다	collar	
95599	자기만족	complacence, -cency	
95600	자기만족	selfcongratulation	
95601	자기만족적		
95602	자기면역의	autoimmune	
95603	자기모순		
95604	자기모순적		
95605	자기반성	introspection	
95606	자기반성	self examination	
95607	자기반성의	introspective	
95608	자기발견	consciousnessraising	
95609	자기발정	autoerotism	
95610	자기방어	self protection	
95611	자기변호		
95612	자기본위	egotism	
95613	자기부상열차	maglev train	
95614	자기비판		
95615	자기색정	autoerotism	
95616	자기선전		
95617	자기성이 있는	magnetic	
95618	자기소개		
95619	자기수양	selfculture	
95620	자기식		
95621	자기실현		
95622	자기암시	autosuggestion	
95623	자기애	narcissism	
95624	자기애	selflove	
95625	자기애인격	narcissistic personality	
95626	자기완성	self realization	
95627	자기유도계수의 단위	Henry	
95628	자기의식	self-consciousness	
95629	자기인식	selfawareness	
95630	자기자신의 것	own	
95631	자기장		
95632	자기적으로	magnetically	
95633	자기접종	autoinoculation	
95634	자기정화	selfconsciousness	
95635	자기제의	porcelainous	
95636	자기조직이식술	autoplasty	
95637	자기주사기	autoinjector	
95638	자기주장		
95639	자기준동형	endomorphism	
95640	자기중심		
95641	자기중심벽	egoistism	
95642	자기중심의	egocentric	
95643	자기중심적		
95644	자기중심주의		
95645	자기집	one's own house	
95646	자기초	magnetosheath	
95647	자기최면	autohypnosis	
95648	자기코어	core	
95649	자기판독식의	magstripe	
95650	자기편	a friend, sb one`s side, a supporter	
95651	자기평가	self evaluation	
95652	자기표현		
95653	자기풍속계	anemograph	
95654	자기하다	register	
95655	자기혐오	self hate	
95656	자기효능	self-efficacy	
95657	자기희생		
95658	자길	T-junction	
95659	자꼴 연결부	T-junction	
95660	자꼴의	decussate	
95661	자꼴의 손잡이가 있는	crooked	
95662	자꾸	Constantly, repeatedly	B
95663	자꾸 뇌까리다	ding	
95664	자꾸 증식하는	fungoid	
95665	자꾸 지껄이다	moider	
95666	자꾸되풀이하는	repetitious	
95667	자꾸만	Repeatedly (emphasized)	B
95668	자나 깨나	wake	
95669	자낭	ascus	
95670	자낭과	ascocarp	
95671	자낭균류	ascomycete	
95672	자낭포자	ascospore	
95673	자네	You	C
95674	자네.남자 이름	mack	
95675	자네근처의	neighborhood	
95676	자녀	one's children	C
95677	자녀관		
95678	자는 사람	sleeper	
95679	자니	petuntse	
95680	자니	petuntze	
95681	자다	To sleep	A
95682	자단	sandalwood (a plant), red sanders, rosewood	
95683	자당	sucrose	
95684	자당	a respectable word for somebody`s mother	
95685	자당 제1주의	particularism	
95686	자당에 유리하게 고치다	gerrymander	
95687	자당이당	saccharose	
95688	자당효소	invertase	
95689	자대		
95690	자도차 사고	fender bender	
95691	자독행위	self pollution	
95692	자돈	a piglet	
95693	자동	self-acting, self-moving, automatic	B
95694	자동 3륜차	cyclecar	
95695	자동 경보기	safealarm	
95696	자동 경보기	autoalarm	
95697	자동 고사포	pompom	
95698	자동 공급기	selffeeder	
95699	자동 교통신호기	robot	
95700	자동 권총	machine pistol	
95701	자동 귀환 궤도	freereturn trajectory	
95702	자동 급단기	stoker	
95703	자동 기계	automatic	
95704	자동 기관총	pompom	
95705	자동 기록 장치의 기록	tracing	
95706	자동 기록의	selfrecording	
95707	자동 날인기	stamper	
95708	자동 노출 장치	phototimer	
95709	자동 노출 카메라	electric eye camers	
95710	자동 데이터 처리	datamation	
95711	자동 도박기	slot machine	
95712	자동 못박는 기계	nailer	
95713	자동 무선	transponder	
95714	자동 뮬 방석기	selfactor	
95715	자동 발효의	selfexecuting	
95716	자동 방루식의	selfsealing	
95717	자동 변속 장치	automatic drive	
95718	자동 보급식의	self feeding	
95719	자동 분석	autoanalysis	
95720	자동 산화	autoxidation	
95721	자동 살수 소화 장치	sprinkler system	
95722	자동 서명기	autopen	
95723	자동 셔터	selftimer	
95724	자동 수정의	selfcorrecting	
95725	자동 수확 묶음기	selfbinder	
95726	자동 수확기	reaping machine	
95727	자동 시동기	selfstarter	
95728	자동 시동식의	selfactivating	
95729	자동 썰매	autosled	
95730	자동 안전 밸트	passive belt	
95731	자동 암호 해독 장치	decoder	
95732	자동 양수기	ram	
95733	자동 양수기	hydraulic ram	
95734	자동 연주 장치	player	
95735	자동 온도 조절의	thermostatic	
95736	자동 온수 장치	geyser	
95737	자동 운동	autokinesis	
95738	자동 운동 기록기	automatograph	
95739	자동 월면 물질 채집선	moonscooper	
95740	자동 위치 제어	dynamic positioning	
95741	자동 유도 어뢰	homing torpedo	
95742	자동 유도 제어학	autonetics	
95743	자동 유도장치	homing device	
95744	자동 인출식의	selffanning	
95745	자동 인형	goldem	
95746	자동 작용	automatism	
95747	자동 적인	autokinetic	
95748	자동 정검 유지	dynamic positioning	
95749	자동 정보 처리	automatic data processing	
95750	자동 제어론	autonetics	
95751	자동 조절	self regulating	
95752	자동 조절식 좌석벨트	inertia reel belt(seat belt)	
95753	자동 조절의	selfadhesive	
95754	자동 조절직시 파인더	iconometer	
95755	자동 조정	selfjustification	
95756	자동 조정의	selfadjusting	
95757	자동 조종 장치	gyropilot	
95758	자동 조종안정	autostability	
95759	자동 조타의	selfsteering	
95760	자동 주조 식자기	monotype	
95761	자동 중계기	translator	
95762	자동 차단기	electrotome	
95763	자동 타이머	autotimer	
95764	자동 판매의	coin-operated	
95765	자동 폐쇄의	selfclosing	
95766	자동 표시기	telltale	
95767	자동 피아노	player piano	
95768	자동 피아노	pianola	
95769	자동 혹성간 스테이션	automatic interplanetary	
95770	자동경리계산기	billing machine	
95771	자동계단	escalator	
95772	자동고도표시기	altigraph	
95773	자동교환기	changemaker	
95774	자동권총	burp gun	
95775	자동기록 장치의	redording	
95776	자동기록기	aerograph	
95777	자동기록기	register	
95778	자동도난경보기	burglar alarm	
95779	자동력없는	nonmotile	
95780	자동력이 없는	inert	
95781	자동력이 없는	immotile	
95782	자동문		
95783	자동분석기	autoanalyzer	
95784	자동사	intransitive, intransitive verb	
95785	자동사로	intransitively	
95786	자동성	automaticity	
95787	자동식		
95788	자동식 기계	selfactor	
95789	자동식 난로	baseburner	
95790	자동식으로	automatically	
95791	자동식의	automatic	
95792	자동식자기	composing machine	
95793	자동연속연주장치	autochanger	
95794	자동인	preselective	
95795	자동인형	automaton	
95796	자동적		
95797	자동적 승진	grade creep	
95798	자동적으로 감기는	self winding	
95799	자동적으로 복원하는	selfrighting	
95800	자동적인	automotive	
95801	자동적인	automatical	
95802	자동전자장치의	autotronic	
95803	자동전화	an automatic telephone	
95804	자동점멸장치	flasher	
95805	자동조작	automatic operation	
95806	자동조작	automation	
95807	자동조정장치	navigator	
95808	자동조정장치	autopilot	
95809	자동조종장치	George	
95810	자동조종장치	automatic pilot	
95811	자동차	Car	A
95812	자동차 경주 트랙	autodrome	
95813	자동차 경주장	raceway	
95814	자동차 도둑	carnap(p)er	
95815	자동차 등 무료 편승자	pickup	
95816	자동차 등록	rego	
95817	자동차 등록번호	registration number(mark)	
95818	자동차 등록증	car license	
95819	자동차 부대	mechanical transport	
95820	자동차 사고	stackup	
95821	자동차 사용	automobilism	
95822	자동차 소유자	automobilist	
95823	자동차 속도 측정 장치	electric teeth	
95824	자동차 수리공	garageman	
95825	자동차 시운전장	motordrome	
95826	자동차 여행자 숙박소	motel	
95827	자동차 운반선	car carrier	
95828	자동차 운반용 화차	rack car	
95829	자동차 운전 학원	driving school	
95830	자동차 운전자	motorist	
95831	자동차 운전자	automobilist	
95832	자동차 이동 도서관	bookmobile	
95833	자동차 입국 허가증	triptyque	
95834	자동차 자살	autocide	
95835	자동차 장애물 경기	gymkhana	
95836	자동차 제조 노동자	autoworker	
95837	자동차 주차장	car park	
95838	자동차 차체 설계	coachwork	
95839	자동차 차체 제조업	coachbuilding	
95840	자동차 판매기	coin-op	
95841	자동차 편승 여행자	hitchhiker	
95842	자동차 폭파	car bombing	
95843	자동차 폭파 장치	car bomb	
95844	자동차 폴로 경기	autopolo	
95845	자동차 행렬	motorcade	
95846	자동차관		
95847	자동차길	driveway	
95848	자동차등의 내구 레이스	enduro	
95849	자동차레이스	rider	
95850	자동차로 가다	motor	
95851	자동차로 변할 수 있는	roadable	
95852	자동차로 안내하다	chauffeur	
95853	자동차사		
95854	자동차세		
95855	자동차세 납부증	road fund licence	
95856	자동차업계		
95857	자동차업체		
95858	자동차용 휘발유	mobile gas(oil)	
95859	자동차용품		
95860	자동차의	automotive	
95861	자동차의 가속 경주	drag race	
95862	자동차의 길가쪽	nearside	
95863	자동차의 일종	landau	
95864	자동차의 주행 안정성	roadholding	
95865	자동차의 혼합	spillback	
95866	자동차의 홍수	heavy traffic	
95867	자동차의 흙받기	fender	
95868	자동차행렬	autocade	
95869	자동차행진	cavalcade	
95870	자동차화하다	motorize	
95871	자동착륙	autoland	
95872	자동추진차	locomobile	
95873	자동판매기	a vending machine	
95874	자동판매식음식점	automat	
95875	자동학과		
95876	자동현상	automatism	
95877	자동호출	automatic calling	
95878	자동화	automation	
95879	자동화하다	to automate	
95880	자두	a plum	
95881	자두나무	blackthorn	
95882	자두연기		
95883	자두지미		
95884	자둔자린		
95885	자라	softshell	
95886	자라게 하다	grow	
95887	자라나다	To grow up	B
95888	자라다	To grow up	B
95889	자라목 스웨터	jersey	
95890	자라목 스웨터	turtleneck	
95891	자락	a hem (of a skirt)	
95892	자락	a very strong gust of wind	
95893	자락주름장식	flounce	
95894	자락하다	phlebotomize	
95895	자란	a kind of plant	
95896	자랄 수 있는	viable	
95897	자랑	Pride	C
95898	자랑 삼는것	hobby	
95899	자랑 이야기	cockalorum	
95900	자랑꾼	a boaster, a braggart	
95901	자랑꾼의	braggart	
95902	자랑삼아 보이는	flaunty	
95903	자랑스러운	uplifted	
95904	자랑스럽다	To be proud	B
95905	자랑스레 기뻐하다	kvell	
95906	자랑으로 생각하는	proud	
95907	자랑의	vaunted	
95908	자랑하고 싶어하는	boastful	
95909	자랑하고 있는	proud	
95910	자랑하는	boastful, boasting, vaunty	
95911	자랑하다	To be proud	B
95912	자랑하여	vainly	
95913	자랑해 보임	ostentation	
95914	자려의	selfexcited	
95915	자력	magnetism	
95916	자력	self-power	
95917	자력	pocket, financial power	
95918	자력	resources, faculties	
95919	자력  검출기	magnetoscope	
95920	자력 기록	magnetograph	
95921	자력갱생		
95922	자력계	magnetometer	
95923	자력으로 만든	selfmade	
95924	자력이 있는	resourceful	
95925	자력현지수송	ferry	
95926	자로긋다	rule	
95927	자료	materials,data	B
95928	자료관		
95929	자료부	morgue	
95930	자료실		
95931	자료실장		
95932	자료은행		
95933	자료의 일괄처리	batch processing	
95934	자료집		
95935	자루	a bag of some kind	
95936	자루	handgrip, handle, stock	
95937	자루 가득	sackful	
95938	자루 걸레	swab	
95939	자루 끝	pommel	
95940	자루 달린 걸레	dry mop	
95941	자루 달린 둥근 톱	trephine	
95942	자루 뛰기 경주	sack race	
95943	자루 만드는 재료	bagging	
95944	자루 모양으로 되다	pouch	
95945	자루 하나 가득	bagful	
95946	자루가 긴 전부	poleax	
95947	자루가 달린	handled	
95948	자루가 중앙에 있는	peltate	
95949	자루달린 안경	lorgnette	
95950	자루부대에 넣다	sack	
95951	자루에 넣다	bag	
95952	자루처럼 만들다	pouch	
95953	자루처럼 부풀다	bag	
95954	자르기	chopping	
95955	자르기 쉬운 암석	freestone	
95956	자르다	cut,chop	B
95957	자르다	to fire sb from a job	
95958	자르지 않은	uncut	
95959	자름	amputation	
95960	자리	seat,spot	A
95961	자리	a stellar constellation	
95962	자리	A spot at a table	C
95963	자리공	poke	
95964	자리사람	seatmate	
95965	자리수	cipher	
95966	자리잡다	to take its place, to be seated	
95967	자립	independence, self help	
95968	자립도		
95969	자립성		
95970	자립적		
95971	자립하다	to be independent	
95972	자립형		
95973	자릿수	figure	
95974	자마이카산 럼	Jamaica rum	
95975	자막	captions, subtitle	
95976	자막대기	a measuring stick	
95977	자만	conceit, egotism, excessive pride, puffiness, vainglory	
95978	자만심	inflation, overconfidence, self pride	
95979	자만심에서 오는	vainglorious	
95980	자만하는	self-affected, vaunty	
95981	자만하는 사람	trombenik	
95982	자만하여	vainly	
95983	자만한	hincty	
95984	자망	gill net	
95985	자매	Sisters	C
95986	자매 관계	sisterhood	
95987	자매 도시	twin towns	
95988	자매선	sister ship	
95989	자매임	sisterhood	
95990	자매편	companion piece	
95991	자맥질하는 새	diver	
95992	자메이카	Jamaica	
95993	자메이카 사람	Jamaican	
95994	자메이카 사람의	Jamaican	
95995	자메이카의	Jamaican	
95996	자멸	self-destruction, self-slaughter, suicide	
95997	자멸하다	selfdestruct	
95998	자멸형인	selfdestuctive	
95999	자명	self-evident	
96000	자명악	musical box	
96001	자명종	alarm, alarm clock	
96002	자모	matrix	
96003	자모양의 굴곡	elbow	
96004	자모회		
96005	자목련		
96006	자못	very much	
96007	자문	a consultation, a meeting, getting advice from	
96008	자문	self-questioning, asking oneself the question	
96009	자문위원	a consultant	
96010	자문자답	answering your own question	
96011	자문회	a council	
96012	자물쇠	lock	
96013	자물쇠 달린 장	locker	
96014	자물쇠 여는 도구	picklock	
96015	자물쇠 제조공	locksmith	
96016	자물쇠 폐쇄법	padlock law	
96017	자물쇠가 걸리는	lockup	
96018	자물쇠가 채워지다	lock	
96019	자미아	zamia	
96020	자민다르	zamindar	
96021	자민족		
96022	자민족중심주의의	ethnocentric	
96023	자바	Java	
96024	자바 원주민	Javan	
96025	자바 커피	Java	
96026	자바의	Javanese	
96027	자바의	Javan	
96028	자바인	Javan	
96029	자박자박 밟는	crunchy	
96030	자발		
96031	자발 행동	autokinesis	
96032	자발리오네	zabaglione	
96033	자발성	spontaneous	
96034	자발성	sopntaneity	
96035	자발적	spontaneously, voluntarily, of one's own accord, by its own power	
96036	자발적 철수	disengaging action	
96037	자발적안	selfdirected	
96038	자발적으로	spontaneously, voluntarily, of one's own accord, by its own power	
96039	자발적으로 나서다	volunteer	
96040	자발적으로 마치다	rest	
96041	자발적인	spontaneous, unforced, unprompted, voluntary	
96042	자발행동	sopntaneity	
96043	자발행위	spontaneous	
96044	자방 국교주의	territorialism	
96045	자방격막	dissepiment	
96046	자방벽의	parietal	
96047	자백	avowal, confession	
96048	자백하다	avouch, confess, own up to	
96049	자벌레	inchworm, measuring worm	
96050	자벨수	javel water	
96051	자보		
96052	자본	bankroll, capital, negative debt	
96053	자본 잉여금	capital surplus	
96054	자본 재구성	recapitalization	
96055	자본가	capitalist, financier	
96056	자본가계급	bourgeoisie	
96057	자본가들	moneyed, monied	
96058	자본가의	capitalistic	
96059	자본금	capital	
96060	자본금 계정	a capital account	
96061	자본금 자산	capital assets	
96062	자본력		
96063	자본론		
96064	자본액 가변의	openend	
96065	자본액 고정인	closed-end	
96066	자본으로 평가하다	capitalize	
96067	자본으로의 평가	capitalization	
96068	자본의	capital	
96069	자본재	capital goods	
96070	자본제		
96071	자본제적		
96072	자본주	capitalist	
96073	자본주의	capitalism	
96074	자본주의권		
96075	자본주의에 의하지 않는	nonprofit	
96076	자본주의자	capitalist	
96077	자본주의적		
96078	자본집약적인	capitalintensive	
96079	자본파적		
96080	자본화	capitalization	
96081	자본화하다	capitalize	
96082	자부	egoism, pride, selfconfidence	
96083	자부	a daughter-in-law	
96084	자부기봉	ruler	
96085	자부심	Pride	C
96086	자부하다	to bloat, pretend	
96087	자북	magnetic north	
96088	자북선	magnetic meridian	
96089	자비	benignity, charity, mercy	
96090	자비	at one`s own expense	
96091	자비깊은	fatherly	
96092	자비로운	charitable, merciful	
96093	자비롭게	humanely, mercifully	
96094	자비생	commoner	
96095	자비스러운	benevolent	
96096	자비심	benevolence	
96097	자비에르	Xavier	
96098	자빠지다	to fall down, over, backwards	
96099	자빠지다	to break down, sink under misfortune	
96100	자빠지다	to keep and stay idle in one`s house	
96101	자빡	spurn	
96102	자사	in house, inside their company	
96103	자산	assets, financial resources	
96104	자산가	a financier	
96105	자산권화		
96106	자살	Suicide	C
96107	자살 경향이 있는	suicideprone	
96108	자살 유발성의	suicidogenic	
96109	자살 행위	harakiri	
96110	자살 행위	Russian roulette	
96111	자살극		
96112	자살로 이어지는	suicidogenic	
96113	자살연구	suicidology	
96114	자살의	suicidal	
96115	자살자	felodese	
96116	자살자	suicide	
96117	자살적인	selfdestuctive	
96118	자살적인	suicidal	
96119	자살하다	Commit suicide	C
96120	자살학	suicidology	
96121	자상	self-image	
96122	자상하다	to be attentive, to care well for sth	
96123	자새	reel	
96124	자색	good looks	
96125	자색	a woman's good looks or beauty	
96126	자생	autogeny	
96127	자생 잡음	slefnoise	
96128	자생력		
96129	자생의	selfbegotten, selfsown, spontaneogenesis	
96130	자생적		
96131	자생하다	reseed	
96132	자서	autography	
96133	자서작가	autobiographer	
96134	자서전	autobiography	
96135	자서전의	autobiographic	
96136	자서전의	autobiographical	
96137	자서하다	autograph	
96138	자석	magnet	
96139	자석 발전기	magneto	
96140	자석 집중	magcon	
96141	자석식 벨	magneto bell	
96142	자석식 전화기	magnetotelephone	
96143	자석식 픽업	magnetic pickup	
96144	자석영	amethyst	
96145	자선	almsgiving, benefaction, benevolence, charity	
96146	자선가	almsgiver	
96147	자선사업	charity	
96148	자선시	bazaar, fair, kermes	
96149	자선의	charitable, eleemosynary	
96150	자선하다	give	
96151	자선함	alms box	
96152	자선함	poor box	
96153	자선행위	good works	
96154	자성	heart-searching, self-communion	
96155	자세	detailed, finely detailed	
96156	자세	Position, posture	C
96157	자세포막	Purple membrance	
96158	자세하다	Be detailed	C
96159	자세히	In detail	B
96160	자소		
96161	자소휘석	hypersthene	
96162	자속	magnetic flux	
96163	자속 밀도	magnetic flux density	
96164	자속계	fluxmeter	
96165	자속양자	fluxoid quantum	
96166	자속의 단위	maxwell	
96167	자손	offspring, progeniture, progeny	
96168	자손만대		
96169	자손으로서태어나다	issue	
96170	자손증가액	increase	
96171	자수	embroidery	
96172	자수	stitchwork	
96173	자수 견본 작품	sampler	
96174	자수성가		
96175	자수업자	embroiderer	
96176	자수용	zephyr yarn	
96177	자수정	amethyst	
96178	자수정의	amethystine	
96179	자수품	embroidery	
96180	자수하다	embroider	
96181	자숙		
96182	자술서		
96183	자습	seatwork	
96184	자습서	material to help you in your self-study	
96185	자습서사용	cribbing	
96186	자습용 번역서	trot	
96187	자승 평균 평방근	root-mean-square	
96188	자승자박	if you are given enough rope, you will hang yourself. .	
96189	자승하다	raise	
96190	자시불각취		
96191	자시지벽		
96192	자식	one's children	B
96193	자식 작용	autophagy	
96194	자식답지 않은	unfilial	
96195	자식살해	filicide	
96196	자식살해범	filicide	
96197	자식으로서의	filial	
96198	자식이 없는	issueless	
96199	자식이 없는 사람	empty nester	
96200	자식임	filiation	
96201	자신	Self-confidence	B
96202	자신	one's own self, one`s own body	B
96203	자신감	Self-confidence	C
96204	자신만만		
96205	자신없음	diffident	
96206	자신있게	assured	
96207	자신있게	assuredly	
96208	자신조불량		
96209	자실체	fruiting body	
96210	자심	core	
96211	자심 기억 장치	core memory	
96212	자심 기억 장치	core storage	
96213	자심기억장치	core	
96214	자아		
96215	자아 상태	egostate	
96216	자아 영역	egosphere	
96217	자아 이상	ego ideal	
96218	자아 인식	selfrecognition	
96219	자아 확인	selfaffirmation	
96220	자아내다	draw/reel off (a string from a reel, fishing line)	
96221	자아내다	suck or pump out (raise) (a fluid)	
96222	자아내다	entice, arouse	
96223	자아도취	self-intoxication	
96224	자아비판		
96225	자아상	selfimage	
96226	자아실현		
96227	자아에 눈뜸	selfawareness	
96228	자아의식		
96229	자아작고	oneself + 옛것을 만들다 = don`t do it the old fashioned way, get with the times	
96230	자아틀	windlass	
96231	자애	narcissism, self-love	
96232	자애	being prudent and cautious in conduct	
96233	자애 깊음	benignancy	
96234	자애로운	affectionately, softhearted	
96235	자약한	immovable	
96236	자양		
96237	자양물	alimentation, nourishment, nutrimentation	
96238	자양분	food, richness	
96239	자양분있게	richly	
96240	자양이 되는	nourishing	
96241	자업자득	the natural consequences of one`s actions	
96242	자업자득일세	thank	
96243	자역하다	transliterate	
96244	자연	Nature	B
96245	자연 과학	hard science	
96246	자연 관광 자원 보호관	preservator	
96247	자연 그대로의 물건	rough	
96248	자연 발생	sopntaneity	
96249	자연 발생의	selfgenerating	
96250	자연 발생적인	spontaneous	
96251	자연 발화	autoignition	
96252	자연 보호 지역	conservation	
96253	자연 보호론 신봉자	ecofreak	
96254	자연 보호주의자	eagle freak	
96255	자연 분만	natural childbirth	
96256	자연 분만 도입법	psychoprophylaxis	
96257	자연 식품	wholefood	
96258	자연 연소	combustion	
96259	자연 인류학	physical anthropology	
96260	자연 지리학	physical geography	
96261	자연경관		
96262	자연계	nature	
96263	자연계의 질서	natural order	
96264	자연과학	physical science	
96265	자연과학	natural science	
96266	자연관		
96267	자연권	natural right	
96268	자연그대로의	living	
96269	자연그대로의	natural	
96270	자연년	natural year	
96271	자연대		
96272	자연대수	Napierian logarithm	
96273	자연대수	natural logarithm	
96274	자연도태	natural selection	
96275	자연동		
96276	자연력	one`s natural force (2) natural energy sources	
96277	자연림	wildwood	
96278	자연목	standard	
96279	자연물	nature	
96280	자연물의 유의식론	animatism	
96281	자연미		
96282	자연발생	spontaneous generation	
96283	자연발생	autogenesis	
96284	자연발생론	abiogenesis	
96285	자연발생물	excrescence	
96286	자연발화	needfire	
96287	자연법	natural law	
96288	자연법적		
96289	자연법칙		
96290	자연변증법		
96291	자연보호	environmental protectionism	
96292	자연보호구역	a reservation (to preserve the enivornment)	
96293	자연분류	natural system	
96294	자연사	natural death	
96295	자연사	natural history	
96296	자연산		
96297	자연색의	selfcolored	
96298	자연생성 음운론	natural generative phonology	
96299	자연석	field stone	
96300	자연성		
96301	자연성 연료	hypergol	
96302	자연수	a natural number	
96303	자연숭배	naturism	
96304	자연숭배	nature worship	
96305	자연스러움	sopntaneity	
96306	자연스런	native	
96307	자연스럽게	spontaneously	
96308	자연스럽게 뻗은	unbent	
96309	자연스럽다	To be natural	B
96310	자연식		
96311	자연식품	natural food	
96312	자연신	nature deity	
96313	자연신교	deism	
96314	자연신교의	deistic	
96315	자연신화	nature myth	
96316	자연에 의지하지 않는	nonnatural	
96317	자연요법	naturecure	
96318	자연요법	naturopathy	
96319	자연율	natural order	
96320	자연율	natural law	
96321	자연인	natural person	
96322	자연일	natural day	
96323	자연재해		
96324	자연적	Natural	C
96325	자연적 가치 증가	unearned increment	
96326	자연적으로 생긴	selfsown	
96327	자연적으로 하다	naturalize	
96328	자연적인	natural	
96329	자연적인 것	natural	
96330	자연적인 우정	Freemasonry	
96331	자연적인결론	corollaceous	
96332	자연조건		
96333	자연종교	natural religion	
96334	자연주의	naturalism, naturism (like Rousseau)	
96335	자연주의자	naturalist	
96336	자연주의적		
96337	자연주의적인	naturalistic	
96338	자연철학	natural philosophy	
96339	자연촌		
96340	자연치료		
96341	자연현상	Natural phenomena	C
96342	자연화	naturalization	
96343	자연환경	Natural surroundings	C
96344	자연히	Naturally	C
96345	자엽	cotyledon	
96346	자엽	seed leaf	
96347	자엽이 있는	cotyledonous	
96348	자영	selfsupport	
96349	자영업자		
96350	자영하는	selfsupporting	
96351	자오반포		
96352	자오선	the meridian (astronomy)	
96353	자오의	transit instrument	
96354	자외선	ultraviolet rays	
96355	자욱하다	dense	
96356	자운영	astragalus	
96357	자운영	milk vetch	
96358	자웅 도태	sexual selection	
96359	자웅 동주	androgyny	
96360	자웅 동체의	hermaphrodite	
96361	자웅 동체의	hermaphroditic	
96362	자웅 동화서	androgyne	
96363	자웅 모자이크	gynandromrph	
96364	자웅 이주	dioecism	
96365	자웅 이주의	dioecious	
96366	자웅 혼주	polygamy	
96367	자웅 혼주의	polygamous	
96368	자웅동주의	monoecious	
96369	자웅동체의	monoecious	
96370	자웅화동체의	androgynous	
96371	자원	Resources	C
96372	자원봉사	volunteer services	
96373	자원소	daughter element	
96374	자위	metathesis	
96375	자위	self defense	
96376	자위	automanipulation	
96377	자위	self-consolation	
96378	자위	iris and pupil of the eye	
96379	자위	magnetic potential	
96380	자위	masturbation	
96381	자위권		
96382	자위대		
96383	자위부은		
96384	자위의	selfdefensive	
96385	자위하다	to console oneself	
96386	자위행위		
96387	자유	Freedom	B
96388	자유 경쟁	free competition	
96389	자유 경쟁	free economy	
96390	자유 경쟁의 우승자	open champion	
96391	자유 계약의	freelance	
96392	자유 교회	Free Church	
96393	자유 권총	free pistol	
96394	자유 근무 시간제	flextime	
96395	자유 낙하	freefall	
96396	자유 대학	free university	
96397	자유 방임주의	laisser faire	
96398	자유 방임주의의	overpermissive	
96399	자유 변동 시세	floating rate	
96400	자유 변동 시세 제도	clean float	
96401	자유 보유 지주	franklin	
96402	자유 보유 토지의	allodial	
96403	자유 비행 시스템	freeflying system	
96404	자유 비행 페이로드	free flyer	
96405	자유 사상	freethinking	
96406	자유 사상가	esprit fort	
96407	자유 시인	verslibrist	
96408	자유 언론	free press, free speech	
96409	자유 에너지	free energy	
96410	자유 연상	free association	
96411	자유 연상하다	freeassociate	
96412	자유 연애	free love	
